Year,State,Number
2010,North Dakota,36990
2010,Ohio,877732
2010,Oklahoma,288756
2010,Oregon,211307
2010,Pennsylvania,997697
2010,Rhode Island,63795
2010,South Carolina,371615
2010,South Dakota,42102
2010,Tennessee,542393
2010,Texas,1739837
2010,Utah,127659
2010,Vermont,33474
2010,Virginia,517022
2010,Washington,386922
2010,West Virginia,166543
2010,Wisconsin,308118
2010,Wyoming,29373
2010,Guam,11528
2010,Puerto Rico,362102
2010,Virgin Islands of the U.S.,6540
2011,Alabama,425909
2011,Alaska,41081
2011,Arizona,448236
2011,Arkansas,244856
2011,California,2219754
2011,Colorado,253168
2011,Connecticut,253770
2011,Delaware,66305
2011,District of Columbia,43862
2011,Florida,1521069
2011,Georgia,725178
2011,Hawaii,87678
2011,Idaho,106612
2011,Illinois,937833
2011,Indiana,495164
2011,Iowa,189062
2011,Kansas,202481
2011,Kentucky,355637
2011,Louisiana,399306
2011,Maine,100752
2011,Maryland,410763
2011,Massachusetts,405661
2011,Michigan,747599
2011,Minnesota,292254
2011,Mississippi,269506
2011,Missouri,463119
2011,Montana,60478
2011,Nebraska,113688
2011,Nevada,206634
2011,New Hampshire,88717
2011,New Jersey,585092
2011,New Mexico,152817
2011,New York,1534508
2011,North Carolina,776610
2011,North Dakota,42390
2011,Ohio,874618
2011,Oklahoma,312900
2011,Oregon,274631
2011,Pennsylvania,932184
2011,Rhode Island,68758
2011,South Carolina,425444
2011,South Dakota,57782
2011,Tennessee,538791
2011,Texas,1855163
2011,Utah,128616
2011,Vermont,38059
2011,Virginia,635060
2011,Washington,456187
2011,West Virginia,175091
2011,Wisconsin,364286
2011,Wyoming,34885
2011,Guam,10573
2011,Puerto Rico,378463
2011,Virgin Islands of the U.S.,No Data
2012,Alabama,447357
2012,Alaska,37410
2012,Arizona,518034
2012,Arkansas,249140
2012,California,2821730
2012,Colorado,290245
2012,Connecticut,251753
2012,Delaware,68077
2012,District of Columbia,42926
2012,Florida,1729052
2012,Georgia,727526
2012,Hawaii,82773
2012,Idaho,96649
2012,Illinois,919758
2012,Indiana,535162
2012,Iowa,224414
2012,Kansas,202504
2012,Kentucky,356559
2012,Louisiana,424182
2012,Maine,101561
2012,Maryland,456050
2012,Massachusetts,432172
2012,Michigan,786565
2012,Minnesota,298424
2012,Mississippi,278183
2012,Missouri,488771
2012,Montana,55964
